"id","label","type","__class__","citation","key","heading","body","subsections","references","glossary_terms","normative_statements","text","modality","term","definition","standard_id_or_title","metadata","sections","glossary"
"Reference_8f552c8bd5fc5a5e","Reference","entity","Reference","IEEE/EIA 12207.1-1997, IEEE/EIA Guide-Industry Implementation of ISO/IEC 12207: 1995, Standard for Information Technology-Software life cycle processes-Life cycle data","","","","","","","","","","","","","","",""
"Section_a6865ed6725cafd2","Section","entity","Section","","Introduction","Introduction","This introduction is not a part of IEEE Std 830-1998, IEEE Recommended Practice for Software Requirements Specifi-cations. This recommended practice describes recommended approaches for the specification of software require-ments. It is based on a model in which the result of the software requirements specification process is an unambiguous and complete specification document. It should help 1. Software customers to accurately describe what they wish to obtain; 2. Software suppliers to understand exactly what the customer wants; 3. Individuals to accomplish the following goals: 1. Develop a standard software requirements specification (SRS) outline for their own organiza-tions; 2. Define the format and content of their specific software requirements specifications; 3. Develop additional local supporting items such as an SRS quality checklist, or an SRS writer's handbook. To the customers, suppliers, and other individuals, a good SRS should provide several specific benefits, such as the following: - Establish the basis for agreement between the customers and the suppliers on what the software product is to do. The complete description of the functions to be performed by the software specified in the SRS will assist the potential users to determine if the software specified meets their needs or how the software must be modified to meet their needs. - Reduce the development effort. The preparation of the SRS forces the various concerned groups in the customer's organization to consider rigorously all of the requirements before design begins and reduces later redesign, recoding, and retesting. Careful review of the requirements in the SRS can reveal omissions, misunderstandings, and inconsistencies early in the development cycle when these problems are easier to correct. - Provide a basis for estimating costs and schedules. The description of the product to be developed as given in the SRS is a realistic basis for estimating project costs and can be used to obtain approval for bids or price estimates. - Provide a baseline for validation and verification. Organizations can develop their validation and verification plans much more productively from a good SRS. As a part of the development contract, the SRS provides a baseline against which compliance can be measured. - Facilitate transfer. The SRS makes it easier to transfer the software product to new users or new machines. Customers thus find it easier to transfer the software to other parts of their organization, and suppliers find it easier to transfer it to new customers. - Serve as a basis for enhancement. Because the SRS discusses the product but not the project that developed it, the SRS serves as a basis for later enhancement of the finished product. The SRS may need to be altered, but it does provide a foundation for continued production evaluation. The readers of this document are referred to Annex B for guidelines for using this recommended practice to meet the requirements of IEEE/EIA 12207.1-1997, IEEE/EIA Guide-Industry Implementation of ISO/IEC 12207: 1995, Standard for Information Technology-Software life cycle processes-Life cycle data.","[]","","[]","[]","","","","","","","",""
"Section_be652182db012a32","Section","entity","Section","","Participants","Participants","This recommended practice was prepared by the Life Cycle Data Harmonization Working Group of the Soft-ware Engineering Standards Committee of the IEEE Computer Society. At the time this recommended prac-tice was approved, the working group consisted of the following members: Leonard L. Tripp, Chair Edward Byrne Paul R. Croll Perry DeWeese Robin Fralick Marilyn Ginsberg-Finner John Harauz Mark Henley Dennis Lawrence David Maibor Ray Milovanovic James Moore Timothy Niesen Dennis Rilling Terry Rout Richard Schmidt Norman F. Schneidewind David Schultz Basil Sherlund Peter Voldner Ronald Wade The following persons were on the balloting committee: Syed Ali Theodore K. Atchinson Mikhail Auguston Robert E. Barry Leo Beltracchi H. Ronald Berlack Richard E. Biehl Michael A. Blackledge Sandro Bologna Juris Borzovs Kathleen L. Briggs M. Scott Buck Michael Caldwell James E. Cardow Enrico A. Carrara Lawrence Catchpole Keith Chan Antonio M. Cicu Theo Clarke Sylvain Clermont Rosemary Coleman Virgil Lee Cooper W. W. Geoff Cozens Paul R. Croll Gregory T. Daich Geoffrey Darnton Taz Daughtrey Bostjan K. Derganc Perry R. DeWeese James Do Evelyn S. Dow Carl Einar Dragstedt Sherman Eagles Christof Ebert Leo Egan Richard E. Fairley John W. Fendrich Jay Forster Kirby Fortenberry Eva Freund Richard C. Fries Roger U. Fujii Adel N. Ghannam Marilyn Ginsberg-Finner John Garth Glynn Julio Gonzalez-Sanz L. M. Gunther David A. Gustafson Jon D. Hagar John Harauz Robert T. Harley Herbert Hecht William Hefley Manfred Hein Mark Heinrich Mark Henley Debra Herrmann John W. Horch Jerry Huller Peter L. Hung George Jackelen Frank V. Jorgensen William S. Junk George X. Kambic Richard Karcich Ron S. Kenett Judith S. Kerner Robert J. Kierzyk Dwayne L. Knirk Shaye Koenig Thomas M. Kurihara John B. Lane J. Dennis Lawrence Fang Ching Lim William M. Lively James J. Longbucco Dieter Look John Lord Stan Magee David Maibor Harold Mains Robert A. Martin Tomoo Matsubara Mike McAndrew Patrick D. McCray Christopher McMacken Jerome W. Mersky Bret Michael Alan Miller Celia H. Modell James W. Moore Pavol Navrat Myrna L. Olson Indradeb P. Pal Alex Polack Peter T. Poon Lawrence S. Przybylski Kenneth R. Ptack Annette D. Reilly Dennis Rilling Andrew P. Sage Helmut Sandmayr Stephen R. Schach Hans Schaefer Norman Schneidewind David J. Schultz Lisa A. Selmon Robert W. Shillato David M. Siefert Carl A. Singer James M. Sivak Richard S. Sky Nancy M. Smith Melford E. Smyre Harry M. Sneed Alfred R. Sorkowitz Donald W. Sova Luca Spotorno Julia Stesney Fred J. Strauss Christine Brown Strysik Toru Takeshita Richard H. Thayer Booker Thomas Patricia Trellue Theodore J. Urbanowicz Glenn D. Venables Udo Voges David D. Walden Dolores Wallace William M. Walsh John W. Walz Camille SWhite-Partain Scott A. Whitmire P. A. Wolfgang Paul R. Work Natalie C. Yopconka Janusz Zalewski Geraldine Zimmerman Peter F. Zoll When the IEEE-SA Standards Board approved this recommended practice on 25 June 1998, it had the fol-lowing membership: Richard J. Holleman, Chair Donald N. Heirman, Vice Chair Judith Gorman, Secretary Satish K. Aggarwal Clyde R. Camp James T. Carlo Gary R. Engmann Harold E. Epstein Jay Forster * Thomas F. Garrity Ruben D. Garzon James H. Gurney Jim D. Isaak Lowell G. Johnson Robert Kennelly E. G. ""Al"" Kiener Joseph L. Koepfinger * Stephen R. Lambert Jim Logothetis Donald C. Loughry L. Bruce McClung Louis-Frans;ois Pau Ronald C. Petersen Gerald H. Peterson John B. Posey Gary S. Robinson Hans E. Weinrich Donald W. Zipse * Member Emeritus Valerie E. Zelenty IEEE Standards Project Editor","[]","[]","[]","[]","","","","","","","",""
"Section_03dc5db2419beb95","Section","entity","Section","","1","Overview","This recommended practice describes recommended approaches for the specification of software require-ments. It is divided into five clauses. Clause 1 explains the scope of this recommended practice. Clause 2 lists the references made to other standards. Clause 3 provides definitions of specific terms used. Clause 4 provides background information for writing a good SRS. Clause 5 discusses each of the essential parts of an SRS. This recommended practice also has two annexes, one which provides alternate format templates, and one which provides guidelines for compliance with IEEE/EIA 12207.1-1997.","[]","[]","[]","[]","","","","","","","",""
"Section_45e2ebefac51cbe2","Section","entity","Section","","1.1","Scope","This is a recommended practice for writing software requirements specifications. It describes the content and qualities of a good software requirements specification (SRS) and presents several sample SRS outlines. This recommended practice is aimed at specifying requirements of software to be developed but also can be applied to assist in the selection of in-house and commercial software products. However, application to already-developed software could be counterproductive. When software is embedded in some larger system, such as medical equipment, then issues beyond those identified in this recommended practice may have to be addressed. This recommended practice describes the process of creating a product and the content of the product. The product is an SRS. This recommended practice can be used to create such an SRS directly or can be used as a model for a more specific standard. This recommended practice does not identify any specific method, nomenclature, or tool for preparing an SRS.","[]","[]","[]","[]","","","","","","","",""
"Reference_8ba79ffb20d8eabe","Reference","entity","Reference","ASTM E1340-96, Standard Guide for Rapid Prototyping of Computerized Systems.","","","","","","","","","","","","","","",""
"Reference_e07b46626576f011","Reference","entity","Reference","IEEE Std 610.12-1990, IEEE Standard Glossary of Software Engineering Terminology.","","","","","","","","","","","","","","",""
"Reference_de8a4f3286fb0d90","Reference","entity","Reference","IEEE Std 730-1998, IEEE Standard for Software Quality Assurance Plans.","","","","","","","","","","","","","","",""
"Reference_caa5b60a1a50599f","Reference","entity","Reference","IEEE Std 730.1-1995, IEEE Guide for Software Quality Assurance Planning.","","","","","","","","","","","","","","",""
"Reference_32807e4d64e6e6c0","Reference","entity","Reference","IEEE Std 828-1998, IEEE Standard for Software Configuration Management Plans.","","","","","","","","","","","","","","",""
