Requirement ID,Requirement Name,Requirement Description
REQ001,F01_Currency Selection,"The system shall allow users to select their preferred currency from a dropdown menu located in the header/footer area of the public store for localized pricing. nopCommerce supports multi-currency configuration (Configuration → Currencies), where the store administrator defines available currencies with exchange rates. When a customer selects a different currency, all product prices, shipping costs, taxes, and order totals are automatically recalculated and displayed in the chosen currency using the configured exchange rate. The primary store currency is used internally for all transactions, and the selected display currency is applied for presentation purposes only. Currency selection persists across the user session and is stored in a cookie. The dropdown shall display currency names or symbols (e.g., US Dollar, Euro) and the system shall support international currency formats."
REQ002,F02_User Authentication,"The system shall provide comprehensive user authentication functionality including: (1) Registration — a registration form with fields for gender, first name, last name, date of birth, email, company name (optional), newsletter subscription opt-in, and password with confirmation. Password strength validation enforces configurable minimum length, uppercase, lowercase, digit, and special character requirements. Registration methods include standard account creation, email validation required, administrator approval required, or registration disabled. (2) Login — secure login with email/username and password, 'Remember Me' checkbox, and configurable maximum login failure lockout. (3) Account Management — customers can update personal information, change passwords, manage addresses, view order history, downloadable products, back-in-stock subscriptions, reward points, and return requests from a 'My Account' page. The system supports external authentication methods and CAPTCHA for anti-bot protection."
REQ003,F03_Wishlist Feature,"The system shall allow logged-in users to add items to a wishlist for future reference or deferred purchasing. A wishlist is a list of products that a customer can save and share with friends or transfer to the shopping cart later. When a product with variants is added, all chosen variants are included. If a customer adds the same product multiple times, the product appears once with an updated quantity. The wishlist page displays product details including SKU, image, name, price, quantity (editable), and total. Users can: remove items, update quantities via 'Update wishlist' button, move items to the shopping cart via 'Add to cart' button, email the wishlist to a friend (configurable), and share via a unique wishlist URL. Store administrators can configure maximum wishlist items, whether to show product images, allow out-of-stock items, and whether items move or copy from wishlist to cart. The 'Add to wishlist' button appears on product details pages and can be disabled per product."
REQ004,F04_Shopping Cart,"The system shall provide a full-featured shopping cart where users can add, update, and remove products before checkout. The shopping cart page displays product details including SKU, product image, product name, unit price, quantity (editable), total price, and a remove checkbox/button. Key cart features include: (1) Update Shopping Cart button to recalculate after quantity changes, (2) Continue Shopping button to return to catalog browsing, (3) Estimate Shipping popup to calculate shipping costs by entering country/state/zip, (4) Discount code box for entering coupon codes, (5) Gift card code box for redeeming gift cards, (6) Gift wrapping dropdown (checkout attribute), (7) Order totals section showing sub-total, shipping cost, tax, reward points earned, and total amount, (8) Terms of service checkbox (configurable), (9) Checkout button. The system supports mini-shopping cart dropdown on hover, configurable maximum cart items, product images in cart, cross-sell product display, and cart sharing between stores. Administrators can view all customer shopping carts via Sales → Shopping carts and wishlists."
REQ005,F05_Search Functionality,"The system shall allow users to search for products using a search bar with autocomplete suggestions. The search functionality is configurable via Configuration → Settings → Catalog settings. When Search autocomplete is enabled, a dropdown list appears as the user types, showing matching product names and optionally product images. The number of autocomplete results displayed is configurable (e.g., show top 10 matches). A 'Show link to all search results' option can be enabled when found items exceed the displayed autocomplete count. The minimum search term length is configurable (e.g., minimum 3 characters). Search supports filtering by category name, manufacturer name, price range, and keyword matching against product names, short descriptions, full descriptions, SKUs, and product tags. The search results page supports configurable page sizes and price range filtering."
REQ006,F06_Product Categories,"The system shall display main product categories (e.g., Computers, Electronics, Apparel, Digital Downloads, Books, Jewelry, Gift Cards) for easy navigation. Categories are managed via Catalog → Categories and support hierarchical parent-child relationships (subcategories). Each category has a name, description, image, SEO-friendly URL, and display order. Categories can be configured to: appear in the top menu (Include in top menu checkbox), display on the home page (Show on home page checkbox), support page size selection by customers, enable price range filtering, and allow specification attribute filtering. Categories support breadcrumb navigation, configurable view modes (grid/list), product sorting options (by position, name, price, creation date), and ACL-based visibility restrictions per customer role. Categories can also be limited to specific stores in a multi-store configuration."
REQ007,F07_Homepage Banner,"The system shall display promotional banners on the homepage to highlight featured products and offers. nopCommerce supports homepage promotional content through configurable widgets and the Nivo Slider plugin (or similar carousel/banner plugins). Banners can showcase featured products, seasonal promotions, new arrivals, or special offers. The homepage layout supports multiple content zones including category displays, featured products marked with 'Show on home page', bestseller sections, and news items. Promotional banners typically include eye-catching images, overlay text, and call-to-action buttons. The banner display order, visibility, and content are managed through the admin area under Content management or widget configuration. Store owners can schedule banners with start and end dates."
REQ008,F08_Product Listings,"The system shall display product images, descriptions, and prices in categorized sections on the homepage. Products can be featured on the homepage by enabling the 'Show on home page' checkbox on the product edit page, with configurable display order (1 = top of list). The homepage displays product boxes containing: product image (with support for multiple images and thumbnails), product name as a clickable link, short description, price (including 'From' price display for variable products), old price for comparison (strikethrough), product rating stars, and 'Add to cart' / 'Add to wishlist' buttons. The catalog pages panel in settings allows configuring default view mode (grid or list), product image display, and whether to show short descriptions. Bestseller products can also be displayed on the home page with a configurable count."
REQ009,F09_Learn More Button,"The system shall provide a 'Learn More' button on promotional banners that redirects users to detailed product pages. When customers click the 'Learn More' or call-to-action button on a homepage banner, they are navigated to the corresponding product details page, category page, or promotional landing page. The product details page displays comprehensive information including: product name, full-size images with gallery/zoom functionality, short and full descriptions, SKU, manufacturer part number, GTIN, price (with old price comparison), availability status, specification attributes table, product attributes (color, size selectors), quantity input, 'Add to cart' button, 'Add to wishlist' button, 'Add to compare list' button, 'Email a friend' button, product tags, product reviews, related products, and cross-sell products. The destination URL is configurable per banner through the widget/slider management interface."
REQ010,F10_Online Documentation,"The system shall provide a documentation link for users to access guides and FAQs about the platform. nopCommerce provides built-in support for informational content pages through the Topics (pages) feature (Content management → Topics). Topics are free-form content blocks used for FAQ pages, policy pages, terms of service, 'About Us', privacy policy, shipping information, and other informational content. Each topic supports a rich-text editor for content, can be included in the top menu, footer columns (1, 2, or 3), or sitemap, and supports SEO configuration (meta title, keywords, description, friendly URL). Topics can be password-protected, limited to specific customer roles or stores, and accessible when the store is closed. The documentation link in the footer directs users to the official nopCommerce documentation at docs.nopcommerce.com or to a custom store FAQ page."
REQ011,F11_Forum Access,"The system shall provide a link to the nopCommerce forums where users can engage in discussions and seek support. nopCommerce includes a built-in forum system (Content management → Forums) that supports forum groups containing multiple forums, threaded topic discussions, and post replies. Forum features include: configurable permissions for guests and registered users (create topics, create posts, edit/delete posts), private messaging between users, forum subscriptions and email notifications, post voting, signature support, BBCode or simple text editor, RSS feeds per forum and for active discussions, and configurable page sizes for topics, posts, and search results. Forums can be enabled/disabled via Configuration → Settings → Forum settings. The forum link appears in the site navigation when forums are enabled."
REQ012,F12_Multi-Item Carousel,"The system shall support a product carousel feature to showcase multiple promotional items dynamically. nopCommerce supports dynamic product carousels through built-in widgets and third-party plugins (such as Nivo Slider). Carousels can display featured products, new arrivals, bestsellers, or promotional items with automatic rotation/sliding. Each carousel item typically includes a product image, name, price, and a clickable link to the product details page. The 'Recently viewed products' feature (configurable in Catalog settings → Additional sections) also provides a dynamic display of products the customer has browsed. The number of products displayed, rotation speed, and display order are configurable through the widget settings. Homepage product sections like 'Show on home page' products and bestsellers can also be displayed in carousel format depending on the theme."
REQ013,F13_Customer Support Integration,"The system shall provide a contact link or customer support access for user inquiries and issues. nopCommerce includes a built-in Contact Us page (typically accessible via the footer or 'Contact us' link) with a contact form that collects: Full Name, Email address, and Enquiry message (all configurable as required fields). When a user submits the form, an email notification is sent to the store's designated support email address using the configured email account. The system uses the 'ContactUs.EmailAMessage' message template for formatting the notification. Vendors can also have individual contact forms if 'Allow customers to contact vendors' is enabled in Vendor settings. CAPTCHA can be enabled on the contact form for anti-spam protection. Additionally, stores can integrate live chat plugins from the nopCommerce marketplace for real-time customer support."
REQ014,F14_Product Search,"The system shall allow users to search for products using a keyword input field. The search box is displayed in the header of the public store and accepts keyword input. When a user enters a search term and submits, the system searches across product names, short descriptions, full descriptions, product tags, and SKUs. The search results page displays matching products with images, names, prices, ratings, and 'Add to cart' buttons. The minimum search term length is configurable (Catalog settings → Search term minimum length). Search supports keyword highlighting and relevance-based ordering. The search can also be configured to search within manufacturer names and category names. Popular search keywords are tracked and displayed on the admin dashboard for analytics."
REQ015,F15_Advanced Search,"The system shall provide an 'Advanced Search' option to refine search results based on additional criteria. The Advanced Search page allows customers to filter products using multiple criteria: keyword input, Search in product descriptions checkbox, category selection (with 'Automatically search sub categories' option), manufacturer selection, price range (from/to), and optionally search within a specific store in multi-store setups. When the 'Allow customers to search with manufacturer name' and 'Allow customers to search with category name' settings are enabled in Catalog settings, the search engine includes these fields in the matching. Advanced search results support the same display options as standard search: configurable page sizes, grid/list view toggle, sorting options, and price range filtering."
REQ016,F16_Search Results Display,"The system shall display search results with product images, names, and prices. Search results are presented in a product listing format showing: product image (primary image from the product's multimedia gallery), product name as a clickable link to the product details page, short description (if enabled via catalog settings), price (including 'From' prices for variable products and old price strikethrough for discounted items), product rating stars (based on approved customer reviews), and action buttons ('Add to cart', 'Add to wishlist', 'Add to compare list'). The results support both grid and list view modes, with the default mode configurable in Catalog settings. Each product box follows the same template as category and manufacturer product listings."
REQ017,F17_Add to Cart,"The system shall allow users to add a product to the shopping cart from the search results page. Each product displayed in search results includes an 'Add to cart' button. For simple products without required attributes, clicking the button adds the product directly to the cart with a default quantity of 1. For products with required attributes (e.g., size, color), the user is redirected to the product details page to select attribute values before adding to cart. After adding, the system can either display the cart page immediately or keep the user on the current page (configurable via 'Display cart after adding a product' in Shopping cart settings). The mini-shopping cart dropdown updates to reflect the newly added item. The system validates stock availability, minimum/maximum cart quantities, and allowed quantity restrictions before adding."
